rule_id,rule_family,reactant_or_component_ids,ingredient_constraints,composition_constraints,process_constraints,ph_min,ph_max,temperature_min,temperature_max,time_min,time_max,water_activity_min,water_activity_max,shear_constraints,order_constraints,predicted_effect,effect_direction,effect_magnitude,output_property,equation_or_logic,source_refs,evidence_type,confidence,extrapolation_allowed,notes
RULE-PEC-HM-001,gelling,POLY_PEC_HM|SM_SUCROSE,pectine_HM_presence,sugar_60-65pct_required,T_below_boiling,2.5,4.0,60,105,5,30,0.85,1.0,low_avoid_cisaillement,sugar_dispersed_first_then_pectine,gel_formation,increase_gel_strength,high,gel_firmness_strength,F_gel = K * [sugar]^n * [H+] * (1 - [Ca2+]/K_Ca),LIT:Sriamornsak|LIT:Oakenfull,expert_rule_with_literature,0.92,false,Pectine HM gélifie uniquement si sucre > 60% ET pH < 4.0.
RULE-PEC-LM-001,gelling,POLY_PEC_LM|SM_CA,pectine_LM_presence,Ca2+_low_required_for_gel,low_shear,2.5,6.5,0,90,,,0.85,1.0,,,gel_formation,increase,medium,gel_firmness,IF pectin_LM AND Ca2+ > threshold THEN gel,LIT:Sriamornsak,expert_rule_with_literature,0.88,true,Pectine LM gélifie au calcium (egg-box model).
RULE-GEL-GELATINE,gelling,PROT_GEL,gelatine_present,concentration_0.5-3pct,T_above_melting_for_pouring,3.0,8.0,0,100,5,240,,,,,thermoreversible_gel,increase,high,gel_strength_bloom,F ≈ K * C_gelatin^(1.4-1.8),LIT:GME,expert_rule_with_literature,0.95,true,Force du gel proportionnelle à concentration (loi puissance).
RULE-AGAR-GEL,gelling,POLY_AGAR,agar_0.5-2pct,low_calcium,boil_to_dissolve,4.0,9.0,60,100,,,,,,,thermo_irreversible_gel,increase,high,gel_firmness,F ≈ K * C_agar^(1.5),LIT:Phillips,expert_rule_with_literature,0.95,true,Gel se forme vers 35-40°C et reste jusqu'à 85-90°C.
RULE-MAYO-001,emulsion,LIP_TRIGLY|PROT_OVALB,egg_yolk_oil_water,oil_fraction_0.6-0.8,incremental_oil_addition_high_shear,3.5,7.0,18,25,,,,,,,o/w_emulsion_stable,increase_stability,high,emulsion_stability_droplet_size,IF egg_yolk AND oil_gradual_addition THEN stable_mayo,LIT:McClements,expert_rule_with_literature,0.90,true,Lécithine de jaune + incorporation lente et progressive en discontinu sont nécessaires.
RULE-HL-EMULSION,emulsion,LIP_PHOSPH,lecithin_present,lecithin_0.1-1pct,high_shear_required,4.0,8.0,,,,,,,,,emulsification,increase,medium,emulsion_stability,HLB_target = 8-12 for o/w; lecithin ~7-9,LIT:McClements,expert_rule_with_literature,0.90,true,"Lécithine est amphiphile naturelle, HLB ~ 7-9 ; stable o/w si dosage adapté."
RULE-MAILLARD,browning,SM_GLU_MONO|PROT_CASEINE|PROT_WHEY,reducing_sugar_present_AND_protein_present,aw_0.4-0.7_for_optimal_maillard,T_above_140C_dry_heat,4.0,9.0,140,200,5,60,0.4,0.85,,,Maillard_browning_aroma,increase_color_aroma,high,browning_intensity_flavor,ΔE = k * exp(-Ea/RT) * [reducing_sugar] * [amino],LIT:Lund,expert_rule_with_literature,0.95,true,Maillard : réduction + amine → glycosylamine → couleur/arômes.
RULE-CARAMEL,browning,SM_SUCROSE,sucrose_present,,T_above_160C_dry,3.0,9.0,160,200,,,,,,,caramelization_color_aroma,increase,high,color_aroma,sucrose_dehydration_T>160,LIT:LWT,expert_rule_with_literature,0.95,true,"Caramélisation : pure, non-Maillard."
RULE-STARCH-GEL,starch,POLY_AMIDON,starch_in_water,water_ratio_2-10,T_above_60C_agitation,4.0,9.0,55,95,,,,,,,gelatinization_viscosity_increase,increase_viscosity,very_high,viscosity,η_max ≈ K * [starch] * (1 - T/T_gel),LIT:BeMiller,expert_rule_with_literature,0.95,true,"T gélatinisation amidon : pomme de terre 60-65, blé 65-85, maïs 65-75."
RULE-STARCH-RETROGRAD,starch,POLY_AMYLOSE,amylose_pure,,cooling_after_gelatinization,,,0,25,60,,,,,,retrogradation_syneresis,increase_firmness_release_water,high,texture_release_water,IF T < 25°C AND time > 60min THEN retrogradation_increases,LIT:BeMiller,expert_rule_with_literature,0.85,true,Pain rassis = rétrogradation amylose.
