ingredient_id,source_id,source_food_id,source_food_name,match_type,match_score,matched_features,conflicting_features,review_required,review_notes
ING-PLANT-POMME-000001,CIQUAL,13000,"Pomme, crue, avec peau",semantic_state_match,0.95,espèce=Malus domestica;partie=fruit entier;état=fresh;forme=whole,,false,"Match direct CIQUAL — pomme crue avec peau, générique non variétale."
ING-PLANT-POMME-000001,USDAFDC,171688,"Apples, raw, with skin (Includes foods for USDA Food Distribution Program)",semantic_state_match,0.85,espèce=Malus domestica;partie=fruit entier;état=raw;forme=whole,méthode analytique différente (proche),false,"USDA SR Legacy — pomme avec peau. Valeurs cohérentes avec CIQUAL, légères variations attendues sur eau et fibres."
ING-PLANT-TOMATE-000001,CIQUAL,13040,"Tomate, crue",semantic_state_match,0.95,espèce=Solanum lycopersicum;partie=fruit;état=fresh,,false,Match direct CIQUAL.
ING-ANIMAL-UFDEPOULE-000001,CIQUAL,22000,"Œuf, entier",semantic_state_match,0.95,espèce=Gallus gallus;partie=œuf entier;état=fresh,,false,Match direct CIQUAL — œuf entier cru.
ING-DAIRY-BEURREDOUX-000001,CIQUAL,16400,Beurre doux,semantic_state_match,0.95,espèce=Bos taurus;processing=churned;form=solid,,false,Match direct CIQUAL — beurre doux (matière grasse laitière).
ING-DAIRY-LAITENTIER-000001,CIQUAL,19000,"Lait entier, UHT",semantic_state_match,0.95,espèce=Bos taurus;processing=pasteurized/UHT;form=liquid,,false,Match direct CIQUAL — lait entier UHT.
ING-TECH-HUILEDOLIVEV-000001,CIQUAL,17010,Huile d'olive vierge extra,semantic_state_match,0.95,espèce=Olea europaea;processing=first cold press;form=liquid,,false,Match direct CIQUAL — huile d'olive vierge extra.
ING-TECH-FARINEDEBLTE-000001,CIQUAL,15020+100,Farine de blé tendre type 55/65,semantic_state_match,0.90,espèce=Triticum aestivum;processing=milled;form=powder;type=55,Taux d'extraction variable selon type (45-80%),false,Farine type 55-65 générique ; valeurs indicatives.
ING-TECH-SUCREBLANC-000001,CIQUAL,13100,Sucre blanc,semantic_state_match,0.95,espèce=Saccharum officinarum;processing=crystallized;form=granular,,false,Saccharose cristallisé pur.
ING-TECH-MIEL-000001,CIQUAL,13120,Miel,semantic_state_match,0.95,source=Apis mellifera;form=liquid,,false,Miel toutes fleurs générique.
ING-TECH-CHOCOLATNOIR-000001,USDAFDC,170271,Dark chocolate 70-85% cacao,semantic_state_match,0.90,espèce=Theobroma cacao;cocoa%=70-85;form=solid,,false,USDA FDC — gamme 70-85% considérée comme générique 70%.
ING-DAIRY-CRMELIQUIDEE-000001,CIQUAL,19450,Crème liquide entière (30% MG),semantic_state_match,0.95,espèce=Bos taurus;processing=pasteurized;form=emulsion,,false,Crème à 30% matière grasse générique.
