original_name,source,reason_code,reason_detail,possible_parent_ingredient_id
Coca-Cola®,PUBLIC,BRAND,"Marque déposée, intrant générique non requis : sucre, acide phosphorique, caféine couverts.",
Pepsi®,PUBLIC,BRAND,Marque déposée.,
Fanta®,PUBLIC,BRAND,Marque déposée.,
Heinz Ketchup®,PUBLIC,BRAND,Marque commerciale ; ketchup générique conservé.,ING-COND-KETCHUP-000001
Nutella®,PUBLIC,BRAND,Marque commerciale ; pâte de noisette générique non conservée (sucre majoritaire).,ING-TECH-BEURREDENOIS-000001
Kinder Bueno®,PUBLIC,BRAND,Produit fini de marque.,
Mars®,PUBLIC,BRAND,Produit fini de marque.,
Snickers®,PUBLIC,BRAND,Produit fini de marque.,
Bénénuts®,PUBLIC,BRAND,Marque commerciale.,
Pizza Buitoni®,PUBLIC,BRAND,Plat préparé de marque.,
Pizza Sodebo®,PUBLIC,BRAND,Plat préparé de marque.,
Knorr® bouillon cube,PUBLIC,BRAND,Bouillon générique conservé séparément.,ING-TECH-BOUILLONDELG-000001
Maggi®,PUBLIC,BRAND,Marque commerciale.,
Tabasco® original,PUBLIC,BRAND,Marque commerciale ; sauce piment générique non créée (piment + vinaigre OK).,ING-COND-SAUCESRIRACH-000001
Sriracha Huy Fong®,PUBLIC,BRAND,Marque ; sauce sriracha générique conservée.,ING-COND-SAUCESRIRACH-000001
Caprice des Dieux®,PUBLIC,BRAND,Marque fromagère.,
Apéricubes®,PUBLIC,BRAND,Produit fini.,
Kiri®,PUBLIC,BRAND,Marque fromagère.,
Philadelphia®,PUBLIC,BRAND,Marque fromagère.,
Crème de cassis de Dijon (Marque),PUBLIC,BRAND,Marque commerciale.,
Menu Big Mac®,PUBLIC,FINISHED_DISH,Menu de marque.,
Salade César (préparée),PUBLIC,FINISHED_DISH,Plat composé fini.,
Boeuf bourguignon (plat),PUBLIC,FINISHED_DISH,Plat composé ; les ingrédients sont conservés individuellement.,
Pâtes carbonara (plat),PUBLIC,FINISHED_DISH,Plat composé fini.,
Vin de marque Château YYY,PUBLIC,BRAND,Référence vinicole de marque.,ING-BEV-VINROUGE-000001
Vin de marque Domaine ZZZ,PUBLIC,BRAND,Référence vinicole de marque.,ING-BEV-VINROUGE-000001
Foie gras de la maison X,PUBLIC,BRAND,Référence charcutière de marque.,ING-ANIMAL-FOIEDEVOLAIL-000001
Sac de farine 25kg,PUBLIC,SKU,Format d'emballage non significatif.,ING-TECH-FARINEDEBLTE-000001
Sachet de sucre 1kg,PUBLIC,SKU,Format d'emballage non significatif.,ING-TECH-SUCREBLANC-000001
Huile d'olive bio 1L marque X,PUBLIC,BRAND,Marque commerciale.,ING-TECH-HUILEDOLIVEV-000001
Jus de pomme Andros®,PUBLIC,BRAND,Marque commerciale.,ING-BEV-JUSDEPOMME-000001
Kombucha de marque,PUBLIC,BRAND,Référence de marque ; kombucha générique conservé.,ING-BEV-KOMBUCHA-000001
Yaourt Danone nature,PUBLIC,BRAND,Marque commerciale.,ING-FERMENT-YAOURTNATURE-000001
Beurre doux Président®,PUBLIC,BRAND,Marque commerciale ; beurre doux générique conservé.,ING-DAIRY-BEURREDOUX-000001
Crème liquide Yoplait®,PUBLIC,BRAND,Marque commerciale ; crème entière générique conservée.,ING-DAIRY-CRMELIQUIDEE-000001
